sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFxgBliB3mBTpB0qBiqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0hBliBTpBxqBKqBfrB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBRiBNqBCnBerBTpB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFamBumB3iBTpB0qBNqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBxlB0lBlmBTpB2vB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB
OTIOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIOJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTIOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIOSLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSLZ,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTIOSJL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
OTIOSJZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTIOSZL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOSZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OTIOZLJ,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTIOZLS,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OTIOZJL,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOZJS,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OTIOZSL,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
OTIOZSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
OTLIJSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLIJSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLISJZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
OTLISJO,O,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
OTLISZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLISZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLISOJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLISOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIZJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLIZOJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTLIZOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLIOJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOSJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTLIOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLJISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLJISO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLJSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLJSZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJSOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OTLJSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OTLJZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJZIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJZSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
